Class,Precision,Recall,F1_Score
001.ak47,0.9,0.8181818181818182,0.8571428571428571
002.american-flag,1.0,0.9090909090909091,0.9523809523809523
003.backpack,0.8461538461538461,0.6875,0.7586206896551724
004.baseball-bat,0.6666666666666666,0.8571428571428571,0.75
005.baseball-glove,0.8235294117647058,0.875,0.8484848484848485
006.basketball-hoop,0.75,0.6666666666666666,0.7058823529411765
007.bat,0.8461538461538461,0.9166666666666666,0.88
008.bathtub,0.7777777777777778,0.875,0.8235294117647058
009.bear,0.7777777777777778,0.6363636363636364,0.7
010.beer-mug,0.875,0.7,0.7777777777777778
011.billiards,0.9310344827586207,0.9310344827586207,0.9310344827586207
012.binoculars,0.8461538461538461,0.9565217391304348,0.8979591836734694
013.birdbath,0.8181818181818182,0.8181818181818182,0.8181818181818182
014.blimp,0.8888888888888888,0.8,0.8421052631578947
015.bonsai-101,0.9166666666666666,0.8461538461538461,0.88
016.boom-box,0.7777777777777778,0.7,0.7368421052631579
017.bowling-ball,0.625,0.9090909090909091,0.7407407407407407
018.bowling-pin,1.0,0.45454545454545453,0.625
019.boxing-glove,0.6666666666666666,0.7692307692307693,0.7142857142857143
020.brain-101,0.8,0.8888888888888888,0.8421052631578947
021.breadmaker,0.8666666666666667,0.8666666666666667,0.8666666666666667
022.buddha-101,0.9166666666666666,1.0,0.9565217391304348
023.bulldozer,1.0,0.9090909090909091,0.9523809523809523
024.butterfly,1.0,0.8333333333333334,0.9090909090909091
025.cactus,0.7272727272727273,0.6666666666666666,0.6956521739130435
026.cake,0.5833333333333334,0.5833333333333334,0.5833333333333334
027.calculator,0.8181818181818182,0.9,0.8571428571428571
028.camel,0.75,0.8181818181818182,0.782608695652174
029.cannon,0.75,0.8181818181818182,0.782608695652174
030.canoe,0.6,0.5454545454545454,0.5714285714285714
031.car-tire,0.8333333333333334,0.5555555555555556,0.6666666666666666
032.cartman,1.0,0.8181818181818182,0.9
033.cd,0.9090909090909091,0.9090909090909091,0.9090909090909091
034.centipede,1.0,1.0,1.0
035.cereal-box,0.9090909090909091,1.0,0.9523809523809523
036.chandelier-101,0.8461538461538461,0.9166666666666666,0.88
037.chess-board,0.9090909090909091,0.8333333333333334,0.8695652173913043
038.chimp,0.7692307692307693,0.9090909090909091,0.8333333333333334
039.chopsticks,0.6,0.6666666666666666,0.631578947368421
040.cockroach,0.7647058823529411,1.0,0.8666666666666667
041.coffee-mug,0.7142857142857143,1.0,0.8333333333333334
042.coffin,0.6666666666666666,0.6,0.631578947368421
043.coin,0.8333333333333334,0.7692307692307693,0.8
044.comet,0.7333333333333333,0.8461538461538461,0.7857142857142857
045.computer-keyboard,0.9,1.0,0.9473684210526315
046.computer-monitor,0.6666666666666666,1.0,0.8
047.computer-mouse,0.6363636363636364,0.7,0.6666666666666666
048.conch,0.6,0.5454545454545454,0.5714285714285714
