Class,Precision,Recall,F1_Score
airplane,0.9651046859421735,0.968,0.9665501747378932
automobile,0.9682539682539683,0.976,0.9721115537848606
bird,0.9799154334038055,0.927,0.9527235354573484
cat,0.8384819064430715,0.95,0.8907641819034224
deer,0.9612640163098879,0.943,0.9520444220090863
dog,0.9443254817987152,0.882,0.9120992761116856
frog,0.9794661190965093,0.954,0.9665653495440729
horse,0.941972920696325,0.974,0.9577187807276303
ship,0.9693372898120672,0.98,0.9746394828443561
truck,0.9764344262295082,0.953,0.9645748987854251
