Class,Precision,Recall,F1_Score
airplane,0.9598796389167502,0.957,0.9584376564847271
automobile,0.9662027833001988,0.972,0.9690927218344965
bird,0.9640914036996736,0.886,0.9233976029181865
cat,0.9328859060402684,0.834,0.880675818373812
deer,0.9187380497131931,0.961,0.9393939393939394
dog,0.8828571428571429,0.927,0.904390243902439
frog,0.9506769825918762,0.983,0.9665683382497542
horse,0.9337811900191939,0.973,0.9529872673849168
ship,0.968,0.968,0.968
truck,0.9565217391304348,0.968,0.9622266401590457
